;Team_name_home;Round_home;Team_name_away;Home;Away;;;;;;;;
1806;Aluron;14;Suwałki;1.18;4.38;;;;;;;;
1807;BBTS;14;Barkom;2.97;1.35;;;;;;;;
1808;Nysa;14;Warsza;2.11;1.66;;;;;;;;
1809;Gdańsk;14;Asseco;3.71;1.24;;;;;;;;
1810;Asseco;15;GKS;1.10;5.86;;;;;;;;
1811;Warsza;15;Gdańsk;1.50;2.43;;;;;;;;
1812;Barkom;15;Nysa;2.78;1.39;;;;;;;;
1813;Suwałki;15;BBTS;1.03;10.15;;;;;;;;
1814;Lubin;15;Aluron;6.01;1.1;;;;;;;;
1815;Skra;15;Lublin;1.15;4.85;;;;;;;;
1816;Czarni;15;Indykpol;3.31;1.29;;;;;;;;
1817;Węgiel;15;ZAKSA;1.52;2.38;;;;;;;;
1818;GKS;16;Węgiel;5.85;1.11;;;;;;;;
1819;ZAKSA;16;Indykpol;1.17;4.51;;;;;;;;
1820;Czarni;16;Lublin;2.79;1.39;;;;;;;;
1821;Skra;16;Aluron;2.18;1.62;;;;;;;;
1822;Lubin;16;BBTS;1.10;6.13;;;;;;;;
1823;Suwałki;16;Nysa;1.48;2.49;;;;;;;;
1824;Barkom;16;Gdańsk;3.84;1.23;;;;;;;;
1825;Warsza;16;Asseco;3.02;1.34;;;;;;;;
1826;Warsza;17;GKS;1.18;4.4;;;;;;;;
1827;Asseco;17;Barkom;1.03;10.05;;;;;;;;
1828;Gdańsk;17;Suwałki;1.36;2.93;;;;;;;;
1829;Nysa;17;Lubin;1.20;4.06;;;;;;;;
1830;BBTS;17;Skra;11.35;1.02;;;;;;;;
1831;Aluron;17;Czarni;1.02;12.36;;;;;;;;
1832;Lublin;17;ZAKSA;5.03;1.14;;;;;;;;
1833;Indykpol;17;Węgiel;3.73;1.24;;;;;;;;
1834;GKS;18;Indykpol;5.84;1.1;;;;;;;;
1835;Węgiel;18;Lublin;1.14;5.01;;;;;;;;
1836;ZAKSA;18;Aluron;1.65;2.12;;;;;;;;
1837;Czarni;18;BBTS;1.30;3.28;;;;;;;;
1838;Skra;18;Nysa;1.24;3.66;;;;;;;;
1839;Lubin;18;Gdańsk;3.78;1.23;;;;;;;;
1840;Suwałki;18;Asseco;5.30;1.13;;;;;;;;
1841;Barkom;18;Warsza;4.25;1.19;;;;;;;;
1842;Barkom;19;GKS;2.26;1.58;;;;;;;;
1843;Warsza;19;Suwałki;1.46;2.53;;;;;;;;
1844;Asseco;19;Lubin;1.04;9.08;;;;;;;;
1845;Gdańsk;19;Skra;2.34;1.54;;;;;;;;
1846;Nysa;19;Czarni;1.15;4.77;;;;;;;;
1847;BBTS;19;ZAKSA;11.33;1.02;;;;;;;;
1848;Aluron;19;Węgiel;1.73;1.99;;;;;;;;
1849;Lublin;19;Indykpol;2.14;1.64;;;;;;;;
1850;GKS;20;Lublin;3.72;1.24;;;;;;;;
1851;Indykpol;20;Aluron;2.47;1.49;;;;;;;;
1852;Węgiel;20;BBTS;1.01;12.92;;;;;;;;
1853;ZAKSA;20;Nysa;1.22;3.91;;;;;;;;
1854;Czarni;20;Gdańsk;3.86;1.22;;;;;;;;
1855;Asseco;20;Skra;1.22;3.85;;;;;;;;
1856;Lubin;20;Warsza;4.17;1.19;;;;;;;;
1857;Suwałki;20;Barkom;1.28;3.38;;;;;;;;
1858;Suwałki;21;GKS;1.20;4.08;;;;;;;;
1859;Barkom;21;Lubin;1.87;1.83;;;;;;;;
1860;Warsza;21;Skra;1.44;2.62;;;;;;;;
1861;Asseco;21;Czarni;1.03;9.82;;;;;;;;
1862;Gdańsk;21;ZAKSA;3.43;1.28;;;;;;;;
1863;Węgiel;21;Nysa;1.09;6.41;;;;;;;;
1864;BBTS;21;Indykpol;9.96;1.03;;;;;;;;
1865;Aluron;21;Lublin;1.23;3.87;;;;;;;;
1866;GKS;22;Aluron;6.69;1.08;;;;;;;;
1867;Lublin;22;BBTS;1.04;8.92;;;;;;;;
1868;Indykpol;22;Nysa;2.05;1.69;;;;;;;;
1869;Węgiel;22;Gdańsk;1.19;4.23;;;;;;;;
1870;ZAKSA;22;Asseco;1.64;2.13;;;;;;;;
1871;Czarni;22;Warsza;6.18;1.09;;;;;;;;
1872;Skra;22;Barkom;1.12;5.48;;;;;;;;
1873;Lubin;22;Suwałki;2.78;1.39;;;;;;;;
1874;Lubin;23;GKS;2.02;1.73;;;;;;;;
1875;Suwałki;23;Skra;2.75;1.4;;;;;;;;
1876;Barkom;23;Czarni;1.28;3.4;;;;;;;;
1877;Warsza;23;ZAKSA;2.93;1.36;;;;;;;;
1878;Asseco;23;Węgiel;1.81;1.91;;;;;;;;
1879;Gdańsk;23;Indykpol;1.64;2.16;;;;;;;;
1880;Nysa;23;Lublin;1.69;2.06;;;;;;;;
1881;BBTS;23;Aluron;8.61;1.05;;;;;;;;
1882;GKS;24;BBTS;1.19;4.27;;;;;;;;
1883;Aluron;24;Nysa;1.35;2.97;;;;;;;;
1884;Lublin;24;Gdańsk;1.88;1.84;;;;;;;;
1885;Indykpol;24;Asseco;3.21;1.31;;;;;;;;
1886;Węgiel;24;Warsza;1.34;3.02;;;;;;;;
1887;ZAKSA;24;Barkom;1.04;9.11;;;;;;;;
1888;Czarni;24;Suwałki;3.09;1.34;;;;;;;;
1889;Skra;24;Lubin;1.08;6.62;;;;;;;;
1890;Skra;25;GKS;1.17;4.43;;;;;;;;
1891;Lubin;25;Czarni;1.57;2.28;;;;;;;;
1892;Suwałki;25;ZAKSA;5.72;1.12;;;;;;;;
1893;Barkom;25;Węgiel;6.51;1.09;;;;;;;;
1894;Warsza;25;Indykpol;1.28;3.46;;;;;;;;
1895;Asseco;25;Lublin;1.06;7.3;;;;;;;;
1896;Gdańsk;25;Aluron;2.35;1.53;;;;;;;;
1897;BBTS;25;Nysa;5.84;1.11;;;;;;;;
1898;GKS;26;Nysa;3.09;1.34;;;;;;;;
1899;BBTS;26;Gdańsk;5.89;1.11;;;;;;;;
1900;Aluron;26;Asseco;2.05;1.7;;;;;;;;
1901;Lublin;26;Warsza;2.38;1.53;;;;;;;;
1902;Indykpol;26;Barkom;1.12;5.31;;;;;;;;
1903;Węgiel;26;Suwałki;1.10;5.94;;;;;;;;
1904;ZAKSA;26;Lubin;1.04;9;;;;;;;;
1905;Czarni;26;Skra;3.14;1.32;;;;;;;;
1906;Czarni;27;GKS;2.71;1.42;;;;;;;;
1907;ZAKSA;27;Skra;1.10;6;;;;;;;;
1908;Lubin;27;Węgiel;5.26;1.12;;;;;;;;
1909;Suwałki;27;Indykpol;2.04;1.71;;;;;;;;
1910;Barkom;27;Lublin;2.41;1.52;;;;;;;;
1911;Warsza;27;Aluron;1.86;1.85;;;;;;;;
1912;Asseco;27;BBTS;1.01;12.66;;;;;;;;
1913;Gdańsk;27;Nysa;1.36;2.95;;;;;;;;
1914;GKS;28;Gdańsk;2.21;1.6;;;;;;;;
1915;Nysa;28;Asseco;4.83;1.15;;;;;;;;
1916;BBTS;28;Warsza;8.98;1.04;;;;;;;;
1917;Aluron;28;Barkom;1.03;10.59;;;;;;;;
1918;Lublin;28;Suwałki;2.62;1.45;;;;;;;;
1919;Lubin;28;Indykpol;4.22;1.2;;;;;;;;
1920;Węgiel;28;Skra;1.24;3.73;;;;;;;;
1921;Czarni;28;ZAKSA;7.14;1.08;;;;;;;;
1922;ZAKSA;29;GKS;1.11;5.8;;;;;;;;
1923;Czarni;29;Węgiel;7.91;1.06;;;;;;;;
1924;Skra;29;Indykpol;1.21;4.01;;;;;;;;
1925;Lubin;29;Lublin;2.05;1.69;;;;;;;;
1926;Suwałki;29;Aluron;4.47;1.17;;;;;;;;
1927;Barkom;29;BBTS;1.24;3.71;;;;;;;;
1928;Warsza;29;Nysa;1.28;3.43;;;;;;;;
1929;Asseco;29;Gdańsk;1.24;3.73;;;;;;;;
1930;GKS;30;Asseco;5.83;1.11;;;;;;;;
1931;Gdańsk;30;Warsza;2.18;1.62;;;;;;;;
1932;Nysa;30;Barkom;1.11;5.85;;;;;;;;
1933;BBTS;30;Suwałki;4.66;1.17;;;;;;;;
1934;Aluron;30;Lubin;1.04;9.33;;;;;;;;
1935;Lublin;30;Skra;2.15;1.64;;;;;;;;
1936;Indykpol;30;Czarni;1.15;4.97;;;;;;;;
1937;ZAKSA;30;Węgiel;1.55;2.31;;;;;;;;
