,Team_name_home,Round_home,Team_name_away
1634,Suwałki,2,Lublin
1635,Gdańsk,2,Aluron
1636,GKS,2,Asseco
1637,Skra,2,Indykpol
1638,Warsza,2,Lubin
1639,Czarni,2,ZAKSA
1640,Węgiel,2,Nysa
1641,ZAKSA,3,Lublin
1642,Warsza,3,Węgiel
1643,Skra,3,Nysa
1644,Asseco,3,Czarni
1645,Gdańsk,3,Lubin
1646,Suwałki,3,Indykpol
1647,Aluron,3,GKS
1648,Lublin,4,GKS
1649,Indykpol,4,Aluron
1650,Lubin,4,Suwałki
1651,Czarni,4,Gdańsk
1652,Nysa,4,Asseco
1653,Węgiel,4,Skra
1654,ZAKSA,4,Warsza
1655,Warsza,5,Lublin
1656,Skra,5,ZAKSA
1657,Asseco,5,Węgiel
1658,Gdańsk,5,Nysa
1659,Suwałki,5,Czarni
1660,Aluron,5,Lubin
1661,GKS,5,Indykpol
1662,Lublin,6,Indykpol
1663,Lubin,6,GKS
1664,Czarni,6,Aluron
1665,Nysa,6,Suwałki
1666,Węgiel,6,Gdańsk
1667,ZAKSA,6,Asseco
1668,Warsza,6,Skra
1669,Skra,7,Lublin
1670,Asseco,7,Warsza
1671,Gdańsk,7,ZAKSA
1672,Suwałki,7,Węgiel
1673,Aluron,7,Nysa
1674,GKS,7,Czarni
1675,Indykpol,7,Lubin
1676,Skra,8,Asseco
1677,Lublin,8,Lubin
1678,Czarni,8,Indykpol
1679,Nysa,8,GKS
1680,Węgiel,8,Aluron
1681,ZAKSA,8,Suwałki
1682,Warsza,8,Gdańsk
1683,Asseco,9,Lublin
1684,Gdańsk,9,Skra
1685,Suwałki,9,Warsza
1686,Aluron,9,ZAKSA
1687,GKS,9,Węgiel
1688,Indykpol,9,Nysa
1689,Lubin,9,Czarni
1690,Lublin,10,Czarni
1691,Nysa,10,Lubin
1692,Indykpol,10,Węgiel
1693,ZAKSA,10,GKS
1694,Warsza,10,Aluron
1695,Skra,10,Suwałki
1696,Asseco,10,Gdańsk
1697,Gdańsk,11,Lublin
1698,Suwałki,11,Asseco
1699,Aluron,11,Skra
1700,GKS,11,Warsza
1701,ZAKSA,11,Indykpol
1702,Lubin,11,Węgiel
1703,Czarni,11,Nysa
1704,Lublin,12,Nysa
1705,Węgiel,12,Czarni
1706,ZAKSA,12,Lubin
1707,Warsza,12,Indykpol
1708,Skra,12,GKS
1709,Asseco,12,Aluron
1710,Gdańsk,12,Suwałki
1711,Lublin,13,Aluron
1712,GKS,13,Suwałki
1713,Indykpol,13,Gdańsk
1714,Lubin,13,Asseco
1715,Czarni,13,Skra
1716,Nysa,13,Warsza
1717,ZAKSA,13,Węgiel
1718,Węgiel,14,Lublin
1719,ZAKSA,14,Nysa
1720,Warsza,14,Czarni
1721,Skra,14,Lubin
1722,Asseco,14,Indykpol
1723,Gdańsk,14,GKS
1724,Suwałki,14,Aluron
1725,Lublin,15,Suwałki
1726,Aluron,15,Gdańsk
1727,Asseco,15,GKS
1728,Indykpol,15,Skra
1729,Lubin,15,Warsza
1730,ZAKSA,15,Czarni
1731,Nysa,15,Węgiel
1732,Lublin,16,ZAKSA
1733,Węgiel,16,Warsza
1734,Nysa,16,Skra
1735,Czarni,16,Asseco
1736,Lubin,16,Gdańsk
1737,Indykpol,16,Suwałki
1738,GKS,16,Aluron
1739,GKS,17,Lublin
1740,Aluron,17,Indykpol
1741,Suwałki,17,Lubin
1742,Gdańsk,17,Czarni
1743,Asseco,17,Nysa
1744,Skra,17,Węgiel
1745,Warsza,17,ZAKSA
1746,Lublin,18,Warsza
1747,ZAKSA,18,Skra
1748,Węgiel,18,Asseco
1749,Indykpol,18,GKS
1750,Nysa,18,Gdańsk
1751,Czarni,18,Suwałki
1752,Lubin,18,Aluron
1753,Indykpol,19,Lublin
1754,GKS,19,Lubin
1755,Aluron,19,Czarni
1756,Suwałki,19,Nysa
1757,Gdańsk,19,Węgiel
1758,Asseco,19,ZAKSA
1759,Skra,19,Warsza
1760,Lublin,20,Skra
1761,Warsza,20,Asseco
1762,ZAKSA,20,Gdańsk
1763,Węgiel,20,Suwałki
1764,Nysa,20,Aluron
1765,Czarni,20,GKS
1766,Lubin,20,Indykpol
1767,Lubin,21,Lublin
1768,Indykpol,21,Czarni
1769,GKS,21,Nysa
1770,Aluron,21,Węgiel
1771,Suwałki,21,ZAKSA
1772,Gdańsk,21,Warsza
1773,Asseco,21,Skra
1774,Lublin,22,Asseco
1775,Skra,22,Gdańsk
1776,Warsza,22,Suwałki
1777,ZAKSA,22,Aluron
1778,Węgiel,22,GKS
1779,Nysa,22,Indykpol
1780,Czarni,22,Lubin
1781,Czarni,23,Lublin
1782,Lubin,23,Nysa
1783,Węgiel,23,Indykpol
1784,GKS,23,ZAKSA
1785,Aluron,23,Warsza
1786,Suwałki,23,Skra
1787,Gdańsk,23,Asseco
1788,Lublin,24,Gdańsk
1789,Asseco,24,Suwałki
1790,Skra,24,Aluron
1791,Warsza,24,GKS
1792,Indykpol,24,ZAKSA
1793,Węgiel,24,Lubin
1794,Nysa,24,Czarni
1795,Nysa,25,Lublin
1796,Czarni,25,Węgiel
1797,Lubin,25,ZAKSA
1798,Indykpol,25,Warsza
1799,GKS,25,Skra
1800,Aluron,25,Asseco
1801,Suwałki,25,Gdańsk
1802,Aluron,26,Lublin
1803,Suwałki,26,GKS
1804,Gdańsk,26,Indykpol
1805,Asseco,26,Lubin
1806,Skra,26,Czarni
1807,Warsza,26,Nysa
1808,Węgiel,26,ZAKSA
