;Team_name_home;Round_home;Team_name_away;Home;Away
1752;Lubin;18;Aluron;1.4;2.75
1753;Indykpol;19;Lublin;1.28;3.46
1754;GKS;19;Lubin;1.27;3.8
1755;Aluron;19;Czarni;1.25;4
1756;Suwałki;19;Nysa;1.32;3.4
1757;Gdańsk;19;Węgiel;2.3;1.62
1758;Asseco;19;ZAKSA;3.8;1.27
1759;Skra;19;Warsza;1.27;3.8
1760;Lublin;20;Skra;4.48;1.18
1761;Warsza;20;Asseco;2.35;1.6
1762;ZAKSA;20;Gdańsk;1.55;2.45
1763;Węgiel;20;Suwałki;1.03;12.75
1764;Nysa;20;Aluron;4.35;1.22
1765;Czarni;20;GKS;2.45;1.55
1766;Lubin;20;Indykpol;2.75;1.45
1767;Lubin;21;Lublin;1.56;2.35
1768;Indykpol;21;Czarni;1.22;4.35
1769;GKS;21;Nysa;1.2;4.6
1770;Aluron;21;Węgiel;3.1;1.37
1771;Suwałki;21;ZAKSA;10.25;1.05
1772;Gdańsk;21;Warsza;2.1;1.75
1773;Asseco;21;Skra;1.8;2
1774;Lublin;22;Asseco;4.84;1.16
1775;Skra;22;Gdańsk;1.22;4.35
1776;Warsza;22;Suwałki;1.25;4
1777;ZAKSA;22;Aluron;1.22;4.35
1778;Węgiel;22;GKS;1.04;11
1779;Nysa;22;Indykpol;3.4;1.32
1780;Czarni;22;Lubin;1.65;2.25
1781;Czarni;23;Lublin;1.92;1.82
1782;Lubin;23;Nysa;1.55;2.45
1783;Węgiel;23;Indykpol;1.15;5.5
1784;GKS;23;ZAKSA;5.5;1.15
1785;Aluron;23;Warsza;1.35;3.25
1786;Suwałki;23;Skra;4.35;1.22
1787;Gdańsk;23;Asseco;3.1;1.37
1788;Lublin;24;Gdańsk;2.36;1.56
1789;Asseco;24;Suwałki;1.07;8.65
1790;Skra;24;Aluron;1.45;2.75
1791;Warsza;24;GKS;1.35;3.25
1792;Indykpol;24;ZAKSA;4.6;1.2
1793;Węgiel;24;Lubin;1.03;12.75
1794;Nysa;24;Czarni;1.72;2.15
1795;Nysa;25;Lublin;1.54;2.38
1796;Czarni;25;Węgiel;11.25;1.04
1797;Lubin;25;ZAKSA;9.4;1.06
1798;Indykpol;25;Warsza;1.55;2.45
1799;GKS;25;Skra;3.5;1.3
1800;Aluron;25;Asseco;1.72;2.15
1801;Suwałki;25;Gdańsk;2.35;1.6
1802;Aluron;26;Lublin;1.06;7.76
1803;Suwałki;26;GKS;2.35;1.6
1804;Gdańsk;26;Indykpol;1.32;3.4
1805;Asseco;26;Lubin;1.07;8.5
1806;Skra;26;Czarni;1.15;5.55
1807;Warsza;26;Nysa;1.45;2.8
1808;Węgiel;26;ZAKSA;3.55;1.3
